,DataFrame,Pollutant,MAE,RMSE,MAPE,R-squared
0,Borno,Pm2.5,52.677161634049334,60.59336225243399,130.90694793845736,-0.01767569677383496
1,Borno,Pm10,0.9238803653636927,0.9959985392636157,53.99780004667881,-0.4291749926325956
2,Borno,So2,6.5536382497899e-11,8.571930047178297e-11,27.803731345911668,-0.2040361167391831
3,Borno,Co2,2.2658442506905675e-06,2.4777344466132246e-06,0.5454469187106116,-4.575468371244015
4,Borno,Co,2.1791083118208205e-08,2.33205937172338e-08,13.42197546304945,-1.9278926841478317
5,Borno,So4,1.6636408521617748e-10,2.1375688129072914e-10,25.13866355516971,0.021208328045135283
6,Kaduna,Pm2.5,40.567301149228264,46.17125215652049,184.12959970414516,-0.10382840616158551
7,Kaduna,Pm10,0.9801716511923132,1.1065474982208998,86.32509983385451,-0.45898923838398487
8,Kaduna,So2,1.2458269854096947e-10,1.6273446251795798e-10,19.97188864978843,-0.12346590153435977
9,Kaduna,Co2,2.0867966327759924e-06,2.5343770283356105e-06,0.5025358558684812,-7.6334250131538965
10,Kaduna,Co,3.654287209916278e-08,3.816933075627834e-08,22.291411692213792,-4.342226725955398
11,Kaduna,So4,1.282067549931161e-10,1.4987062119740467e-10,19.599646660083145,0.01797407634235726
12,Kogi,Pm2.5,34.09663160651632,39.03808266249511,370.83629877990114,-0.0708179442283452
13,Kogi,Pm10,0.8523175881498335,1.0554997710099685,133.61249769982055,-0.38885837595147454
14,Kogi,Co2,2.927375977364416e-06,3.2424218416473034e-06,0.7052881663746068,-8.891586647887992
15,Kogi,Co,1.6904653550684402e-08,1.8427576159107905e-08,10.096587592523603,0.1229182327252566
16,Nassarawa,Pm2.5,38.16022475662986,44.843039183943915,273.9789890931934,-0.061179601189288446
17,Nassarawa,Pm10,0.9601165504147545,1.1048213526649482,117.13350069144724,-0.5996856146636418
18,Nassarawa,So2,1.196369344729251e-10,1.3734627849934301e-10,34.190594439534095,-0.04850750393584513
19,Nassarawa,Co2,2.312744061717414e-06,2.5951915472427907e-06,0.5571734077006192,-4.701625490162124
20,Nassarawa,Co,1.4844720208957787e-08,2.2060252908259187e-08,7.951664243502737,-0.07695506735666435
21,Nassarawa,So4,1.2068489122987528e-10,1.4527435922340444e-10,19.49005671683847,-1.9792764498840136
22,Sokoto,Pm2.5,43.26677777715296,48.43756595492655,146.3255486037073,-0.04410415482527985
23,Sokoto,Pm10,0.7709776914618414,0.9216920053304803,45.71466553334487,-0.05357291417718257
24,Sokoto,So2,4.585738488644196e-11,6.297461110934642e-11,15.184188747093666,-0.20040697538330243
25,Sokoto,Co2,2.999450363154338e-06,3.3838544167213097e-06,0.7203299728454668,-4.1854729951534715
26,Sokoto,Co,1.156318923508935e-08,1.2101468485248636e-08,7.365453342373087,0.12069393351155888
27,Sokoto,So4,9.809462229089094e-11,1.194793234213317e-10,19.39913556806735,0.050092981200500986
28,Gombe,Pm2.5,41.02830656693641,47.38590051423764,174.27957781324574,-0.055132456032204624
29,Gombe,Pm10,1.0838080689657155,1.3170096471954913,80.58714617882727,-1.0081856641711981
30,Gombe,So2,5.859373699446698e-11,9.4189143805458e-11,19.817204498556062,-0.11234746158607667
31,Gombe,Co2,2.399651713588452e-06,2.7782729783826736e-06,0.5773240405581725,-4.360042076108626
32,Gombe,Co,1.1384460227038669e-08,1.3207925981733373e-08,7.160082733419921,0.13238897318003973
33,Gombe,So4,1.0032662441683768e-10,1.26609198672836e-10,19.73592808692998,-0.06727550170073515
34,Niger,Pm2.5,43.92978131581943,49.74402879741734,207.77314462345308,-0.18510622753624983
35,Niger,Pm10,1.0174355206916992,1.1856695134251396,91.94655760011979,-0.2880706519876475
36,Niger,So2,1.8789244634556154e-10,2.357480019385487e-10,50.498954485626655,-0.2425287667542262
37,Niger,Co2,2.4336716891667297e-06,2.7210718583473477e-06,0.5862375905809211,-5.988883536307454
38,Niger,Co,1.9711180261281836e-08,2.0817953966398157e-08,11.827106065132996,-0.6293399484254278
39,Niger,So4,6.662166850778376e-11,8.381139199173257e-11,10.612185786431287,-0.10751726168420506
40,Taraba,Pm2.5,31.557572229301385,38.24738724040897,236.79209509302436,-0.07828240076582693
41,Taraba,Pm10,0.9648257946098773,1.077291345005984,117.73473989775964,-0.5571778409355053
42,Taraba,Co2,2.1174935188167537e-06,2.708292506688886e-06,0.5095640129592955,-2.7170765858314803
43,Taraba,Co,2.597600044889474e-08,2.6854387081331317e-08,15.388754615730903,-0.1938659486283174
44,Benue,Pm2.5,41.44172577834459,47.105943049789765,495.0838793591612,-0.17023731131767494
45,Benue,Pm10,1.1268278388519066,1.2888518158349531,185.22310604387621,-1.2532495556721703
46,Benue,Co2,1.9145999684108497e-06,2.2881925236961065e-06,0.4611795660751163,-2.8253117078914856
47,Benue,Co,1.74538688488954e-08,1.9257428095160362e-08,10.347026476319265,0.19137712840016885
48,Kwara,Pm2.5,36.00515850404608,40.134682263185205,280.6954850150922,-0.08019928674745302
49,Kwara,Pm10,1.0931590126055806,1.298985018900416,129.84133424770263,-0.6406997780320323
50,Kwara,So2,1.6630531086471904e-10,1.9662888348296866e-10,44.28283866468535,-0.19355865318736654
51,Kwara,Co2,2.696744950168422e-06,3.0612556966912408e-06,0.6490321481069782,-3.6743492535104174
52,Kwara,Co,2.3088236846435412e-08,2.430792975867423e-08,13.951997264949032,-1.159662188411657
53,Kwara,So4,7.381363019959526e-11,9.095540212426607e-11,10.396314976966348,-0.10175471396120339
54,Plateau,Pm2.5,39.00689052128173,45.479397060787726,201.58967385863141,-0.06929823246836242
55,Plateau,Pm10,0.8027641093265805,0.9046584112757327,80.76816889044139,-0.225402011781213
56,Plateau,So2,7.852834137808737e-11,9.839227034758042e-11,29.479229450258327,-0.07480632048749492
57,Plateau,Co2,2.1366080013269913e-06,2.604873917829402e-06,0.5145646818721138,-5.255988292234881
58,Plateau,Co,1.712061504893572e-08,1.917061146157163e-08,10.285718523186,-0.20265298847163837
59,Plateau,So4,6.786529457554456e-11,7.887885739668278e-11,11.878563526417745,0.015938635388355715
60,Jigawa,Pm2.5,50.490552309381656,58.06084891241585,154.9275233781808,-0.047048095795042544
61,Jigawa,Pm10,0.9418086569342106,1.0755624083832453,53.033977526530165,-0.2604266730850573
62,Jigawa,So2,5.129983171452798e-11,6.060355642308533e-11,14.64420863287382,-0.16693869954583418
63,Jigawa,Co2,2.1788353478944636e-06,2.5662633304000537e-06,0.5236100733187417,-1.844302913815436
64,Jigawa,Co,1.3366870923243454e-08,1.5256967417198764e-08,8.409704981567804,-0.5539296867197088
65,Jigawa,So4,1.5731279563513488e-10,1.8681038042196475e-10,27.88041012873954,0.04259252618071507
66,Yobe,Pm2.5,62.26506111553601,70.51669820047763,171.20034556789406,-0.04753449092569184
67,Yobe,Pm10,0.8470062498140454,0.9551800615032517,45.51480870545413,-0.19009455892111715
68,Yobe,So2,2.3702881467916006e-11,3.5478591156695335e-11,13.826179115671586,-0.27924439888836083
69,Yobe,Co2,2.2036140863766667e-06,2.5020730240768442e-06,0.5296417926371949,-2.2128381054955693
70,Yobe,Co,1.2726007180835808e-08,1.3680664966543338e-08,7.7740933556308915,-0.05938198102036596
71,Yobe,So4,1.5058642527260292e-10,1.8096643010014525e-10,26.44271800327948,0.031486783777873506
72,Katsina,Pm2.5,45.34666062127416,51.42919735853278,157.21473825980058,-0.0757242532258815
73,Katsina,Pm10,1.044534663902809,1.1861643656317338,58.82068704322222,-0.693866578658457
74,Katsina,So2,6.169270871710754e-11,7.09571662789723e-11,16.510505122427922,-0.219547608577634
75,Katsina,Co2,2.6552682063831357e-06,3.206955793049938e-06,0.6383883255185776,-4.59652072268843
76,Katsina,Co,1.8971074933439336e-08,2.0736752630418772e-08,11.702475381882355,-1.5676144144443458
77,Katsina,So4,1.3859118084554159e-10,1.6686282017873918e-10,22.685952823096812,0.046791263028485686
78,Kano,Pm2.5,46.04929410608151,52.41088512184356,159.66570119901579,-0.072495319477893
79,Kano,Pm10,1.008289687573813,1.2249984255402104,63.79993204308274,-0.6282908712947435
80,Kano,So2,4.9862719299225196e-11,6.278082810037642e-11,9.75153122120962,-0.11365357879771665
81,Kano,Co2,2.177432297324934e-06,2.7459989112045437e-06,0.5232315065716903,-2.6234156656544365
82,Kano,Co,1.9825940232321747e-08,2.1379163059363958e-08,12.459237751734562,-1.8322459121910808
83,Kano,So4,1.550106184431855e-10,1.7912430439707826e-10,23.57174999223262,0.04658624607538586
84,Zamfara,Pm2.5,42.57574726821405,47.741060473239166,157.8426728522624,-0.08001081092903295
85,Zamfara,Pm10,0.8501570762441668,1.0107464212822992,55.24954188143566,-0.0998262109582646
86,Zamfara,So2,9.34898784508216e-11,1.3673816966229256e-10,31.00140514928199,-0.07045592218690966
87,Zamfara,Co2,2.3291010246691054e-06,2.6744647668188334e-06,0.5600795360962577,-3.4252042051578684
88,Zamfara,Co,1.3559006946102754e-08,1.5277505045739052e-08,8.12335870461177,-0.4310678736152649
89,Zamfara,So4,1.117376182089889e-10,1.2976259159308786e-10,21.56960521805602,-0.14785730423680876
